id,community_names,region,price,total_price,house_types,area,orientation,decoration,floor_levels,build_time,building_types
105,绿城百合公寓南区 ,阎村,"14,840元/平",216,4室2厅,145.56平米,南 北,简装,顶层(共6层) ,,板楼
106,首邑溪谷 ,高米店,"52,336元/平",242,2室1厅,46.24平米,南 北,其他,中楼层(共16层),2012年,板塔结合
107,蓝调沙龙西区 ,九棵树(家乐福),"35,952元/平",200,1室1厅,55.63平米,东 北,精装,低楼层(共15层),2005年,板塔结合
108,鸿坤理想城大满贯 ,西红门,"33,630元/平",216,1室1厅,64.23平米,西 东 北,简装,顶层(共18层),2011年,塔楼
109,首创悦溪汇 ,马坡,"17,223元/平",139,2室1厅,80.71平米,南 北,简装,底层(共7层) ,,板塔结合
110,安翔里小区 ,健翔桥,"68,118元/平",288,1室1厅,42.28平米,南,简装,低楼层(共6层) ,,板楼
111,桃花岛 ,梨园,"26,287元/平",282,3室1厅,107.28平米,南 北,精装,顶层(共6层),2007年,板楼
112,高原街4号院 ,芍药居,"78,862元/平",460,2室1厅,58.33平米,南 北,精装,低楼层(共6层) ,,板楼
113,中建国际城 ,顺义城,"34,772元/平",245,2室1厅,70.46平米,南 北,精装,低楼层(共15层) ,,板楼
114,龙熙顺景甲区 ,大兴新机场,"25,448元/平",1650,6室2厅,648.4平米,南 北,其他,底层(共2层) ,,暂无数据
115,中海枫涟山庄 ,西北旺,"84,378元/平",1030,3室2厅,122.07平米,南 北,精装,低楼层(共8层) ,,板楼
116,永泰东里 ,清河,"58,853元/平",360,2室1厅,61.17平米,南 北,简装,中楼层(共6层) ,,板楼
117,西罗园南里 ,西罗园,"40,712元/平",206,2室1厅,50.6平米,南,精装,高楼层(共6层) ,,板楼
118,葛布店北里 ,果园,"39,155元/平",163,1室0厅,41.63平米,南 北,简装,底层(共6层),1989年,板楼
119,住总万科橙 ,天宫院,"39,188元/平",297,2室1厅,75.79平米,南,精装,低楼层(共28层),2015年,板楼
120,华业东方玫瑰A区 ,临河里,"38,538元/平",215,1室1厅,55.79平米,南,简装,高楼层(共28层),2011年,板塔结合
121,学院南路66号院 ,白石桥,"88,546元/平",688,3室1厅,77.7平米,南 北,精装,低楼层(共14层) ,,板塔结合
122,红星北里 ,万源,"26,745元/平",197,2室1厅,73.66平米,东 西,精装,顶层(共6层),1999年,板楼
123,清欣园 ,旧宫,"32,683元/平",236,2室1厅,72.21平米,西 东 南,其他,低楼层(共6层) ,,板楼
124,金隅滨和园6号院 ,石景山其它,"26,877元/平",159,1室1厅,59.16平米,南,精装,高楼层(共31层),2013年,板楼
125,爱民里小区 ,西四,"115,060元/平",680,2室1厅,59.1平米,东 西,简装,中楼层(共7层) ,,板楼
126,望坛新苑 ,永定门,"73,919元/平",475,2室1厅,64.26平米,西 北,精装,11层 ,,板塔结合
127,强佑清河新城府学上院 ,清河,"67,313元/平",299,1室1厅,44.42平米,东南,精装,中楼层(共14层),2021年,板塔结合
128,海棠公社 ,豆各庄,"33,107元/平",195,1室1厅,58.9平米,南,简装,11层,2010年,板楼
129,润泽悦溪 ,北苑,"77,686元/平",1050,4室2厅,135.16平米,南 西 北,精装,低楼层(共11层),2010年,板塔结合
130,苹果社区南区 ,双井,"78,137元/平",1258,4室1厅,161平米,南 北,精装,27层,2005年,板塔结合
131,丰西北里 ,五里店,"29,785元/平",160,2室1厅,53.72平米,南 北,简装,6层 ,,板楼
132,天和人家 ,南沙滩,"64,654元/平",698,2室1厅,107.96平米,东,精装,低楼层(共18层),2004年,板塔结合
133,将府锦苑 ,朝阳其它,"44,050元/平",228,1室1厅,51.76平米,南,简装,低楼层(共28层) ,,板楼
134,柏林爱乐四期 ,常营,"55,075元/平",369,1室1厅,67平米,西,其他,中楼层(共11层),2008年,板楼
135,柏林爱乐三期 ,常营,"52,203元/平",359,1室1厅,68.77平米,南,精装,中楼层(共11层) ,,板楼
136,住欣家园 ,常营,"37,329元/平",185,1室1厅,49.56平米,西,简装,低楼层(共28层),2010年,塔楼
137,模式口东里 ,苹果园,"28,961元/平",170,2室1厅,58.7平米,南 北,简装,顶层(共6层),1991年,板楼
138,望河园 ,四季青,"77,901元/平",515,1室1厅,66.11平米,西南,精装,中楼层(共17层) ,,塔楼
139,西罗园一区 ,西罗园,"60,890元/平",520,4室2厅,85.4平米,东 南 北,精装,中楼层(共6层),1987年,板楼
140,远洋东方公馆 ,玉桥,"41,323元/平",765,3室1厅,185.13平米,南 北,精装,26层,2012年,板楼
141,刘家窑南里 ,蒲黄榆,"40,591元/平",220,2室1厅,54.2平米,南 北,简装,顶层(共6层) ,,板楼
142,富卓苑 ,马家堡,"51,090元/平",380,2室1厅,74.38平米,西南,精装,6层,2001年,板楼
143,八宝庄 ,定慧寺,"77,434元/平",560,3室1厅,72.32平米,南 北,简装,中楼层(共6层) ,,板楼
144,都市经典家园 ,甘露园,"41,898元/平",288,1室1厅,68.74平米,西,简装,中楼层(共26层) ,,塔楼
145,安外大街 ,和平里,"84,275元/平",515,2室1厅,61.11平米,东 西,简装,中楼层(共16层) ,,板楼
146,星河城西区 ,马家堡,"56,249元/平",550,2室1厅,97.78平米,东南,简装,中楼层(共18层),2006年,板塔结合
147,财富西环 ,菜户营,"37,983元/平",183,1室0厅,48.18平米,西,简装,高楼层(共29层) ,,塔楼
148,青塔芳园 ,青塔,"53,199元/平",395,3室1厅,74.25平米,南 西 北,精装,底层(共6层) ,,板楼
149,公园懿府 ,新宫,"47,575元/平",360,2室1厅,75.67平米,南,精装,高楼层(共16层),2017年,板楼
150,龙禧苑二区 ,回龙观,"37,844元/平",464,3室1厅,122.61平米,南 北,简装,低楼层(共7层) ,,板楼
151,中关村 ,中关村,"96,275元/平",460,1室1厅,47.78平米,南 西,简装,顶层(共6层) ,,板楼
152,云立方 ,天宫院,"37,956元/平",297,2室1厅,78.25平米,南,简装,中楼层(共21层),2014年,板楼
153,健翔园 ,二里庄,"77,601元/平",670,2室1厅,86.34平米,西 北,精装,低楼层(共24层) ,,塔楼
154,东棉花胡同 ,地安门,"120,019元/平",509,2室0厅,42.41平米,南,精装,低楼层(共6层) ,,板楼
155,双合家园D区 ,垡头,"34,590元/平",190,1室1厅,54.93平米,南,简装,顶层(共22层),2013年,板楼
156,远见国际公寓 ,广安门,"73,773元/平",499,1室1厅,67.64平米,东,简装,中楼层(共26层),2010年,塔楼
157,亚奥金茂悦 ,北苑,"78,161元/平",758,2室1厅,96.98平米,西南,精装,高楼层(共18层),2014年,板楼
158,保利大都汇 ,万达,"27,530元/平",145,1室1厅,52.67平米,西北,精装,低楼层(共22层),2017年,塔楼
159,前门东大街 ,前门,"78,252元/平",562,3室1厅,71.82平米,南 北,精装,中楼层(共12层),1979年,板楼
160,十里堡南区 ,石佛营,"30,227元/平",168,2室1厅,55.58平米,南 北,简装,地下室(共6层),2001年,板楼
161,万达广场公寓 ,CBD,"58,173元/平",720,2室1厅,123.77平米,东 南 北,精装,低楼层(共27层),2005年,塔楼
162,南竺园 ,首都机场,"24,543元/平",157,2室1厅,63.97平米,南 北,简装,中楼层(共6层),1993年,板楼
163,首开缇香郡 ,通州其它,"20,813元/平",185,3室1厅,88.89平米,南 西 北,简装,中楼层(共8层),2016年,板楼
164,雪梨澳乡A区 ,西三旗,"60,300元/平",1120,3室2厅,185.74平米,南 北,精装,顶层(共4层) ,,板楼
165,怡然家园6号院 ,角门,"23,624元/平",166,1室0厅,70.27平米,东南,简装,14层,2010年,板楼
166,金地格林6 ,马驹桥,"29,400元/平",498,3室1厅,169.39平米,南 北,精装,中楼层(共5层),2009年,板楼
167,天宁寺东里 ,天宁寺,"87,228元/平",308,1室1厅,35.31平米,东,精装,中楼层(共5层),1980年,板楼
168,伟业嘉园西里 ,良乡,"24,658元/平",99,2室1厅,40.15平米,北,简装,中楼层(共5层),2005年,板楼
169,西绒线 ,西单,"119,873元/平",868,2室1厅,72.41平米,南 北,毛坯,中楼层(共6层),2004年,板楼
170,晨光家园A区 ,石佛营,"66,103元/平",539,2室1厅,81.54平米,西南,简装,高楼层(共30层),1999年,塔楼
171,天堂河北区 ,天宫院,"21,232元/平",150,2室1厅,70.65平米,南 北,精装,中楼层(共4层),1987年,板楼
172,首开缇香郡 ,通州其它,"19,976元/平",176,3室1厅,88.11平米,南 北,精装,中楼层(共5层) ,,板楼
173,远见名苑 ,广安门,"109,086元/平",1125,3室2厅,103.13平米,东南,简装,低楼层(共26层),2004年,塔楼
